	gene_symbol	definition
373	rotA	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Rotamase A)
374	rplB	50S ribosomal protein L2
375	rplC	50S ribosomal protein L3
376	rplD	50S ribosomal protein L4
377	rplF	50S ribosomal protein L6
378	rplI	50S ribosomal protein L9
379	rplK	50S ribosomal protein L11
380	rplL	50S ribosomal protein L7/L12
381	rplM	50S ribosomal protein L13
382	rplN	50S ribosomal protein L14
383	rplO	50S ribosomal protein L15
384	rplP	50S ribosomal protein L16
385	rplQ	50S ribosomal protein L17
386	rplR	50S ribosomal protein L18
387	rplT	50S ribosomal protein L20
388	rplU	50S ribosomal protein L21
389	rplV	50S ribosomal protein L22
390	rplW	50S ribosomal protein L23
391	rplX	50S ribosomal protein L24
392	rplY	50S ribosomal protein L25 (General stress protein CTC)
393	rpmA	50S ribosomal protein L27
394	rpmC	50S ribosomal protein L29
395	rpmD	50S ribosomal protein L30
396	rpmF	50S ribosomal protein L32
397	rpmG	50S ribosomal protein L33
398	rpmH	50S ribosomal protein L34
404	rpsA	30S ribosomal protein S1
405	rpsE	30S ribosomal protein S5
406	rpsF	30S ribosomal protein S6
407	rpsG	30S ribosomal protein S7
408	rpsI	30S ribosomal protein S9
409	rpsM	30S ribosomal protein S13
410	rpsO	30S ribosomal protein S15
411	rpsQ	30S ribosomal protein S17
412	rpsR	30S ribosomal protein S18
413	rpsS	30S ribosomal protein S19
414	rpsU	30S ribosomal protein S21
417	rsmA	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)
418	rsmD	Ribosomal RNA small subunit methyltransferase D (EC 2.1.1.171) (16S rRNA m2G966 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase)
419	rsmE	Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.193) (16S rRNA m3U1498 methyltransferase)
420	rsmH	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)
421	rsmI	Ribosomal RNA small subunit methyltransferase I (EC 2.1.1.198) (16S rRNA 2'-O-ribose C1402 methyltransferase) (rRNA (cytidine-2'-O-)-methyltransferase RsmI)
424	samp1	Small archaeal modifier protein 1 (SAMP1) (Ubiquitin-like small archaeal modifier protein 1)
425	samp2	Small archaeal modifier protein 2 (SAMP2) (Ubiquitin-like small archaeal modifier protein 2)
426	samp3	Small archaeal modifier protein 3 (SAMP3) (Ubiquitin-like small archaeal modifier protein 3)
428	sasA	Adaptive-response sensory-kinase SasA (EC 2.7.-.-) (Synechococcus adaptive sensor protein A)
431	secA	Protein translocase subunit SecA
432	secA1	Protein translocase subunit SecA 1
433	secA2	Protein translocase subunit SecA 2
434	secA3	Protein translocase subunit SecA 3
435	secB	Protein-export protein SecB
436	secB1	Protein-export protein SecB 1
437	secB2	Protein-export protein SecB 2
438	secBL	SecB-like chaperone Rv1957
439	secD	Protein-export membrane protein SecD
440	secDF	Protein translocase subunit SecDF
