	species_name	species_abbreviation	taxonomy	phylum	class
154	Pistricoccus aurantiacus		bacteria	Proteobacteria	Gammaproteobacteria
155	Jannaschia seosinensis		bacteria	Proteobacteria	Alphaproteobacteria
156	Nocardia otitidiscaviarum		bacteria	Actinobacteria	Actinobacteria
157	Planococcus massiliensis		bacteria	Firmicutes	Bacilli
158	Amycolatopsis keratiniphila		bacteria	Actinobacteria	Actinobacteria
159	Sporomusa sphaeroides DSM 2875		bacteria	Firmicutes	Negativicutes
160	Roseovarius albus		bacteria	Proteobacteria	Alphaproteobacteria
161	Massilia glaciei		bacteria	Proteobacteria	Betaproteobacteria
162	Mycobacteroides franklinii		bacteria	Actinobacteria	Actinobacteria
163	Sporomusa termitida		bacteria	Firmicutes	Negativicutes
164	Pseudoxanthomonas composti		bacteria	Proteobacteria	Gammaproteobacteria
165	Phaeobacter gallaeciensis		bacteria	Proteobacteria	Alphaproteobacteria
166	Acidovorax sp RAC01		bacteria	Proteobacteria	Betaproteobacteria
167	Staphylococcus saccharolyticus		bacteria	Firmicutes	Bacilli
168	Limnohabitans sp 103DPR2		bacteria	Proteobacteria	Betaproteobacteria
169	Thiomonas delicata Thiomonas cuprina		bacteria	Proteobacteria	Betaproteobacteria
170	Bhargavaea cecembensis DSE10		bacteria	Firmicutes	Bacilli
171	Rhodoferax sediminis		bacteria	Proteobacteria	Betaproteobacteria
172	Neisseria weaveri		bacteria	Proteobacteria	Betaproteobacteria
173	Comamonas terrigena		bacteria	Proteobacteria	Betaproteobacteria
174	Enhygromyxa salina		bacteria	Proteobacteria	Deltaproteobacteria
175	Planctomyces sp SH-PL62		bacteria	Planctomycetes	Planctomycetia
176	Microbacterium ketosireducens		bacteria	Actinobacteria	Actinobacteria
177	Rosistilla oblonga		bacteria	Planctomycetes	Planctomycetia
178	Labrenzia sp VG12		bacteria	Proteobacteria	Alphaproteobacteria
179	Methylomusa anaerophila		bacteria	Firmicutes	Negativicutes
